source_file,model_name,scope,domain,privacy_level,attack_strength,num_examples,avg_example_score,score_100
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall,,,,375,0.629558201058201,62.9558201058201
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,medical,,,175,0.6114285714285714,61.142857142857146
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,1,,35,0.6357142857142857,63.57142857142857
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,2,,35,0.5738095238095238,57.38095238095238
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,3,,35,0.6285714285714286,62.857142857142854
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,4,,35,0.6047619047619048,60.47619047619048
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,medical,5,,35,0.6142857142857143,61.42857142857143
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,1,35,0.7452380952380953,74.52380952380952
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,2,35,0.4023809523809524,40.23809523809524
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,3,35,0.4904761904761905,49.04761904761905
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,4,35,0.6666666666666666,66.66666666666666
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,medical,,5,35,0.7523809523809524,75.23809523809524
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_overall,recruitment,,,200,0.645421626984127,64.5421626984127
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,1,,40,0.6548115079365079,65.48115079365078
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,2,,40,0.6613095238095238,66.13095238095238
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,3,,40,0.6280753968253968,62.807539682539684
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,4,,40,0.6428571428571429,64.28571428571429
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_privacy_level,recruitment,5,,40,0.6400545634920636,64.00545634920636
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,recruitment,,1,40,0.7445436507936508,74.45436507936508
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,recruitment,,2,40,0.4405753968253968,44.057539682539684
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,recruitment,,3,40,0.5829861111111112,58.29861111111112
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,recruitment,,4,40,0.6992559523809524,69.92559523809524
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,by_domain_attack_strength,recruitment,,5,40,0.7597470238095239,75.97470238095238
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_level,,1,,75,0.6458994708994709,64.58994708994709
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_level,,2,,75,0.6204761904761905,62.04761904761905
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_level,,3,,75,0.6283068783068783,62.83068783068783
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_level,,4,,75,0.625079365079365,62.5079365079365
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_level,,5,,75,0.6280291005291005,62.80291005291006
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_attack_strength,,,1,75,0.7448677248677249,74.4867724867725
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_attack_strength,,,2,75,0.42275132275132277,42.27513227513228
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_attack_strength,,,3,75,0.5398148148148149,53.98148148148149
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_attack_strength,,,4,75,0.6840476190476191,68.40476190476191
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_attack_strength,,,5,75,0.7563095238095238,75.63095238095238
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,1,1,15,0.7535714285714286,75.35714285714286
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,1,2,15,0.5537037037037037,55.37037037037037
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,1,3,15,0.5111111111111112,51.11111111111112
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,1,4,15,0.6722222222222223,67.22222222222223
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,1,5,15,0.7388888888888889,73.88888888888889
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,2,1,15,0.7326058201058202,73.26058201058203
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,2,2,15,0.38531746031746034,38.53174603174603
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,2,3,15,0.6138888888888889,61.38888888888889
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,2,4,15,0.6768518518518519,67.68518518518519
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,2,5,15,0.6937169312169312,69.37169312169313
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,3,1,15,0.7466269841269841,74.66269841269842
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,3,2,15,0.37592592592592594,37.592592592592595
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,3,3,15,0.5152777777777778,51.527777777777786
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,3,4,15,0.6925925925925926,69.25925925925927
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,3,5,15,0.8111111111111112,81.11111111111113
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,4,1,15,0.7666666666666667,76.66666666666667
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,4,2,15,0.41580687830687835,41.580687830687836
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,4,3,15,0.5208333333333334,52.083333333333336
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,4,4,15,0.6694444444444444,66.94444444444444
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,4,5,15,0.7526455026455027,75.26455026455027
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,5,1,15,0.7248677248677249,72.4867724867725
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,5,2,15,0.3830026455026455,38.30026455026455
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,5,3,15,0.537962962962963,53.7962962962963
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,5,4,15,0.709126984126984,70.9126984126984
summary_Apertus-8B-Instruct-2509.json,swiss-ai/Apertus-8B-Instruct-2509,overall_by_privacy_and_attack,,5,5,15,0.7851851851851852,78.51851851851852
